country_iso3,country_name,date,country_no2_index_daily_average,country_no2_index_14dma_average,country_no2_index_28dma_average
PHL,Philippines,2019-01-01,1.3298254105312086e-5,1.2845332980074879e-5,1.2398886411431686e-5
PHL,Philippines,2019-02-01,1.4791093690454517e-5,1.3898143209129598e-5,1.3922114777630249e-5
PHL,Philippines,2019-03-01,1.6872190340504148e-5,1.7090595100639137e-5,1.6558629787807584e-5
PHL,Philippines,2019-04-01,1.5161349899250408e-5,1.5037604165833282e-5,1.5205100439546345e-5
PHL,Philippines,2019-05-01,2.2150890158595418e-5,2.0929172962827684e-5,1.93651457885881e-5
PHL,Philippines,2019-06-01,1.7667236460173018e-5,1.888181402475731e-5,2.0132221152096263e-5
PHL,Philippines,2019-07-01,1.6998612287481813e-5,1.6927260352162273e-5,1.7292428056804236e-5
PHL,Philippines,2019-08-01,1.0837801807410727e-5,1.1971877371557963e-5,1.3323332146606354e-5
PHL,Philippines,2019-09-01,1.2525064435004778e-5,1.2406784727531715e-5,1.1807013207504173e-5
PHL,Philippines,2019-10-01,1.530783822465883e-5,1.5050928689585611e-5,1.4680976773538143e-5
PHL,Philippines,2019-11-01,1.5038507922699557e-5,1.526216923285485e-5,1.4771550131515773e-5
PHL,Philippines,2019-12-01,1.3487401302890773e-5,1.3440388332220155e-5,1.3985203038303622e-5
PHL,Philippines,2020-01-01,1.4977669208860972e-5,1.3881519860424912e-5,1.3538937364185666e-5
PHL,Philippines,2020-02-01,1.3177824056589224e-5,1.4556088226690626e-5,1.5078084242169183e-5
PHL,Philippines,2020-03-01,1.3971066117443837e-5,1.3965878288670803e-5,1.3821347732221171e-5
PHL,Philippines,2020-04-01,1.3515559920189099e-5,1.3489239504655279e-5,1.3491891224178275e-5
PHL,Philippines,2020-05-01,1.606173171763592e-5,1.517163270127122e-5,1.4477227687791022e-5
PHL,Philippines,2020-06-01,1.5961858869134147e-5,1.636829766928174e-5,1.6795725320550255e-5
PHL,Philippines,2020-07-01,1.3205941597265275e-5,1.3586979808967717e-5,1.4165320680224444e-5
PHL,Philippines,2020-08-01,1.2978179597557734e-5,1.3369397573329036e-5,1.3101514429602554e-5
PHL,Philippines,2020-09-01,1.437144345404644e-5,1.3267254405814542e-5,1.3285534202399922e-5
PHL,Philippines,2020-10-01,1.4192376693233242e-5,1.435724686459088e-5,1.4316672228489607e-5
PHL,Philippines,2020-11-01,1.36821999039961e-5,1.4199248971383787e-5,1.4412150759711474e-5
PHL,Philippines,2020-12-01,1.3817596607623332e-5,1.3385729144373399e-5,1.3354167441020624e-5
PHL,Philippines,2021-01-01,1.5315788503447243e-5,1.5518675326068666e-5,1.4787617699810598e-5
PHL,Philippines,2021-02-01,1.565564293002327e-5,1.5039260198306944e-5,1.5099520071357938e-5
PHL,Philippines,2021-03-01,1.4860869716905131e-5,1.5132937582291443e-5,1.5380318713496484e-5
PHL,Philippines,2021-04-01,1.8180483243790102e-5,1.691543996446506e-5,1.602706363872e-5
PHL,Philippines,2021-05-01,1.8648009557302346e-5,1.854953025977069e-5,1.8474054466164197e-5
PHL,Philippines,2021-06-01,1.709498715194016e-5,1.7784105113061794e-5,1.8266324444539893e-5
PHL,Philippines,2021-07-01,1.3305468897345124e-5,1.5400373516787468e-5,1.6339850879144772e-5
PHL,Philippines,2021-08-01,1.453823036703859e-5,1.3119767497308369e-5,1.2385708112917553e-5
PHL,Philippines,2021-09-01,1.4845219617248016e-5,1.4885987175339836e-5,1.545102565633059e-5
PHL,Philippines,2021-10-01,1.5756866604867243e-5,1.614432795550181e-5,1.5895012516792005e-5
PHL,Philippines,2021-11-01,1.3979700093868006e-5,1.3531328182982337e-5,1.3762934455089752e-5
PHL,Philippines,2021-12-01,1.5081169371404692e-5,1.4964886261645057e-5,1.462557962931319e-5
PHL,Philippines,2022-01-01,1.6272622225565173e-5,1.6064119266410215e-5,1.571051541264783e-5
PHL,Philippines,2022-02-01,1.3107779841172747e-5,1.4138967400097103e-5,1.5063863790029263e-5
PHL,Philippines,2022-03-01,1.553368139680417e-5,1.539548016848435e-5,1.469876143607992e-5
PHL,Philippines,2022-04-01,1.4301316745796667e-5,1.3750487113129183e-5,1.4120381083205067e-5
PHL,Philippines,2022-05-01,1.693842163523244e-5,1.6596499554875048e-5,1.6035862304747167e-5
PHL,Philippines,2022-06-01,1.6148841788984098e-5,1.664771922331916e-5,1.686772943006962e-5
PHL,Philippines,2022-07-01,1.5005271352963414e-5,1.5000566735083264e-5,1.5300660860885115e-5
PHL,Philippines,2022-08-01,1.4700290564185366e-5,1.497250063848891e-5,1.5061835099932018e-5
PHL,Philippines,2022-09-01,1.4594004400980963e-5,1.3979727587398831e-5,1.3874436382552411e-5
PHL,Philippines,2022-10-01,1.698522042901896e-5,1.6940388686842763e-5,1.6151454077535855e-5
PHL,Philippines,2022-11-01,1.5919948991390866e-5,1.624047766213782e-5,1.6807693088222228e-5
PHL,Philippines,2022-12-01,1.7410482575093988e-5,1.6719621034033658e-5,1.6254616090353173e-5
PHL,Philippines,2023-01-01,1.6462614089466753e-5,1.6958783907157702e-5,1.7136044556149257e-5
PHL,Philippines,2023-02-01,1.5675003235680392e-5,1.578551078150836e-5,1.5927383940728984e-5
PHL,Philippines,2023-03-01,1.804979424998257e-5,1.7144551500821326e-5,1.6742125612190747e-5
PHL,Philippines,2023-04-01,2.1618733203554598e-5,2.1071442643844035e-5,2.0219256436152207e-5
PHL,Philippines,2023-05-01,2.2108054392795046e-5,2.25081066439791e-5,2.2159618996654127e-5
PHL,Philippines,2023-06-01,1.8441954952046803e-5,1.861674516375119e-5,2.0040808175779233e-5
PHL,Philippines,2023-07-01,1.542173939292032e-5,1.6808684647537793e-5,1.714680673630821e-5
PHL,Philippines,2023-08-01,1.3810359473631827e-5,1.3936317267808755e-5,1.3965821949362e-5
PHL,Philippines,2023-09-01,1.6178918120046837e-5,1.507041386774322e-5,1.481312029852283e-5
PHL,Philippines,2023-10-01,1.557083522705439e-5,1.5962141208466216e-5,1.6185868446133208e-5
PHL,Philippines,2023-11-01,1.3770125690744862e-5,1.4144876803119429e-5,1.4564601307957412e-5
PHL,Philippines,2023-12-01,1.3161414507617874e-5,1.3690852636803829e-5,1.3771499698462902e-5
PHL,Philippines,2024-01-01,1.442923845048331e-5,1.3214768891845446e-5,1.3238600332513265e-5
PHL,Philippines,2024-02-01,1.557509174991557e-5,1.6075212891397515e-5,1.5595325961614714e-5
PHL,Philippines,2024-03-01,1.5802428491302626e-5,1.5710553151573913e-5,1.5763103821633973e-5
PHL,Philippines,2024-04-01,1.8141268990567425e-5,1.724691997594154e-5,1.641094898068683e-5
PHL,Philippines,2024-05-01,1.898139674694021e-5,1.926270999333939e-5,1.888413502184208e-5
PHL,Philippines,2024-06-01,1.9605498571227373e-5,1.99422813134922e-5,2.0184269759656455e-5
PHL,Philippines,2024-07-01,1.550492351530575e-5,1.622496298729311e-5,1.7256833065045236e-5
PHL,Philippines,2024-08-01,1.6213278908505624e-5,1.5520012064395673e-5,1.5310897267475652e-5
PHL,Philippines,2024-09-01,1.45157996241299e-5,1.4981588841996048e-5,1.4996843081155985e-5
PHL,Philippines,2024-10-01,1.613847844317563e-5,1.6201704240572707e-5,1.6063831483215947e-5
PHL,Philippines,2024-11-01,1.501993470475579e-5,1.5133444539769633e-5,1.554678092053538e-5
PHL,Philippines,2024-12-01,1.5325364986545415e-5,1.4770248073798909e-5,1.4578889973996344e-5
PHL,Philippines,2025-01-01,1.5750525423997337e-5,1.5496844850503798e-5,1.557080077878696e-5
PHL,Philippines,2025-02-01,1.480226146237914e-5,1.5867292030019343e-5,1.589424882795886e-5
PHL,Philippines,2025-03-01,1.5010619018171137e-5,1.4307207891650567e-5,1.4208030194692138e-5
PHL,Philippines,2025-04-01,1.7021893546593113e-5,1.6642755661999853e-5,1.6070246713355454e-5
PHL,Philippines,2025-05-01,1.831999191719071e-5,1.8223597968569884e-5,1.8294811849563285e-5
PHL,Philippines,2025-06-01,1.8659244730249956e-5,1.8097171659190768e-5,1.8004393023957267e-5
PHL,Philippines,2025-07-01,1.2048279075287662e-5,1.4528400017412564e-5,1.586055557096692e-5
PHL,Philippines,2025-08-01,1.7769192916110006e-5,1.5637471823735263e-5,1.4501808731699512e-5
PHL,Philippines,2025-09-01,1.3235251250615337e-5,1.475507624686483e-5,1.56590087343109e-5
PHL,Philippines,2025-10-01,1.3872793537639277e-5,1.3474241466198556e-5,1.3467991361169339e-5
PHL,Philippines,2025-11-01,1.5209612174489574e-5,1.475191284894334e-5,1.4443887906870928e-5
PHL,Philippines,2025-12-01,1.5978350954210414e-5,1.5951090202695818e-5,1.6017642825789753e-5
PHL,Philippines,2026-01-01,1.695248367137769e-5,1.705680878229194e-5,1.641994910193415e-5
PHL,Philippines,2026-02-01,1.5675453044506015e-5,1.567514055590497e-5,1.6251190572463186e-5
PHL,Philippines,2026-03-01,1.7461694360195356e-5,1.663525464933626e-5,1.6157993148779753e-5
PHL,Philippines,2026-04-01,1.884915134801616e-5,1.9102050928427465e-5,1.81912477635756e-5
